word,translation,translation_en,translation_uk,group,tags,description,example_de,example_ru,example_uk
auspacken (hat ausgepackt),распаковывать,to unpack,розпаковувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол,Nach dem Umzug haben wir alle Kartons ausgepackt.,После переезда мы распаковали все коробки.,Після переїзду ми розпакували всі коробки.
einschlafen (schläft ein),засыпать,to fall asleep,засинати,Повседневные действия,verb;daily;separable,Отделяемый сильный глагол,Gestern bin ich erst um Mitternacht eingeschlafen.,Вчера я заснул только в полночь.,Вчора я заснув тільки опівночі.
bewegen (hat bewegt),двигать,to move,рухати,Повседневные действия,verb;action,Слабый глагол,Du musst dich mehr bewegen!,Тебе нужно больше двигаться!,Тобі потрібно більше рухатися!
aufbauen (hat aufgebaut),собирать,to assemble,будувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол,Wir haben das neue Regal aufgebaut.,Мы собрали новую полку.,Ми зібрали нову полицю.
bügeln (hat gebügelt),гладить,to iron,гладити,Повседневные действия,verb;household,Слабый глагол,Am Sonntag bügle ich meine Hemden.,В воскресенье я глажу рубашки.,У неділю я гладжу сорочки.
füttern (hat gefüttert),кормить,to feed,годувати,Повседневные действия,verb;household,Слабый глагол,Kannst du bitte die Katze füttern?,Можешь покормить кошку?,Можеш нагодувати кішку?
einkaufen (hat eingekauft),делать покупки,to shop,купувати,Повседневные действия,verb;shopping;separable,Отделяемый слабый глагол,Ich habe heute im Supermarkt eingekauft.,Я сегодня сделал покупки.,Я сьогодні зробив покупки.
speichern (hat gespeichert),сохранять,to save,зберігати,Повседневные действия,verb;tech,Слабый глагол,Vergiss nicht das Dokument zu speichern!,Не забудь сохранить документ!,Не забудь зберегти документ!
einatmen / ausatmen,вдыхать / выдыхать,to breathe in / out,вдихати / видихати,Повседневные действия,verb;health;separable,Отделяемые слабые глаголы,Atmen Sie tief ein und aus.,Вдохните глубоко и выдохните.,Вдихніть глибоко й видихніть.
Zeit verbringen,проводить время,to spend time,проводити час,Повседневные действия,phrase;daily,Устойчивое выражение,Ich verbringe viel Zeit mit meiner Familie.,Я провожу много времени с семьёй.,Я проводжу багато часу з сім'єю.
jemandem in die Augen schauen,смотреть в глаза,to look in the eyes,дивитися у очі,Повседневные действия,phrase;daily,Устойчивое выражение,Schau mir in die Augen!,Посмотри мне в глаза!,Подивись мені у очі!
