word,translation,translation_en,translation_uk,group,tags,description,example_de,example_ru,example_uk
auspacken (hat ausgepackt),распаковывать,to unpack,розпаковувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол,Nach dem Umzug haben wir alle Kartons ausgepackt.,После переезда мы распаковали все коробки.,Після переїзду ми розпакували всі коробки.
einschlafen (schläft ein),засыпать,to fall asleep,засинати,Повседневные действия,verb;daily;separable,Отделяемый сильный глагол,Gestern bin ich erst um Mitternacht eingeschlafen.,Вчера я заснул только в полночь.,Вчора я заснув тільки опівночі.
bewegen (hat bewegt),двигать,to move,рухати,Повседневные действия,verb;action,Слабый глагол,Du musst dich mehr bewegen!,Тебе нужно больше двигаться!,Тобі потрібно більше рухатися!
aufbauen (hat aufgebaut),собирать,to assemble,будувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол,Wir haben das neue Regal aufgebaut.,Мы собрали новую полку.,Ми зібрали нову полицю.
bügeln (hat gebügelt),гладить,to iron,гладити,Повседневные действия,verb;household,Слабый глагол,Am Sonntag bügle ich meine Hemden.,В воскресенье я глажу рубашки.,У неділю я гладжу сорочки.
das Haus,дом,house,дім,Жилище,noun;home,Существительное среднего рода,Das Haus ist groß.,Дом большой.,Дім великий.
das Zimmer,комната,room,кімната,Жилище,noun;home,Существительное среднего рода,Mein Zimmer ist hell.,Моя комната светлая.,Моя кімната яскрава.
die Tür,дверь,door,двері,Жилище,noun;home,Существительное женского рода,Die Tür ist rot.,Дверь красная.,Двері червоні.
das Fenster,окно,window,вікно,Жилище,noun;home,Существительное среднего рода,Das Fenster ist offen.,Окно открыто.,Вікно відкрите.
der Tisch,стол,table,стіл,Мебель,noun;furniture,Существительное мужского рода,Der Tisch ist groß.,Стол большой.,Стіл великий.
der Stuhl,стул,chair,стілець,Мебель,noun;furniture,Существительное мужского рода,Der Stuhl ist bequem.,Стул удобный.,Стілець зручний.
das Bett,кровать,bed,ліжко,Мебель,noun;furniture,Существительное среднего рода,Das Bett ist weich.,Кровать мягкая.,Ліжко м'яке.
arbeiten (hat gearbeitet),работать,to work,працювати,Работа,verb;work,Слабый глагол,Ich arbeite im Büro.,Я работаю в офисе.,Я працюю в офісі.
lernen (hat gelernt),учить,to learn,вчити,Образование,verb;education,Слабый глагол,Ich lerne Deutsch.,Я учу немецкий.,Я вчу німецьку.
schreiben (hat geschrieben),писать,to write,писати,Образование,verb;education,Сильный глагол,Ich schreibe einen Brief.,Я пишу письмо.,Я пишу лист.
lesen (hat gelesen),читать,to read,читати,Образование,verb;education,Сильный глагол,Ich lese ein Buch.,Я читаю книгу.,Я читаю книгу.
sprechen (hat gesprochen),говорить,to speak,говорити,Коммуникация,verb;communication,Сильный глагол,Ich spreche Deutsch.,Я говорю по-немецки.,Я говорю німецькою.
hören (hat gehört),слышать,to hear,чути,Коммуникация,verb;communication,Слабый глагол,Ich höre Musik.,Я слушаю музыку.,Я слухаю музику.
