word,translation,translation_en,translation_uk,group,tags,description,example_de,example_ru,example_uk
auspacken (hat ausgepackt),распаковывать,to unpack,розпаковувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол. Антоним: einpacken,Nach dem Umzug haben wir alle Kartons ausgepackt.,После переезда мы распаковали все коробки.,Після переїзду ми розпакували всі коробки.
"einschlafen (schläft ein, ist eingeschlafen)",засыпать,to fall asleep,засинати,Повседневные действия,verb;daily;separable,Отделяемый сильный глагол со вспомогательным sein,Gestern bin ich erst um Mitternacht eingeschlafen.,Вчера я заснул только в полночь.,Вчора я заснув тільки опівночі.
bewegen (hat bewegt),"двигать, шевелить",to move (something),рухати,Повседневные действия,verb;action,Слабый глагол; sich bewegen – двигаться,"Du sitzt zu viel, du musst dich mehr bewegen!","Ты слишком много сидишь, тебе нужно больше двигаться!","Ти занадто багато сидиш, тобі потрібно більше рухатися!"
aufbauen (hat aufgebaut),"собирать, устанавливать, строить","to assemble, to set up",будувати,Повседневные действия,verb;action;separable,Отделяемый слабый глагол. Синоним: zusammenbauen,Wir haben das neue Regal in einer Stunde aufgebaut.,Мы собрали новую полку за час.,Ми зібрали нову полицю за годину.
bügeln (hat gebügelt),гладить (утюгом),to iron,гладити,Повседневные действия,verb;household,Слабый глагол,Am Sonntag bügle ich meine Hemden für die ganze Woche.,В воскресенье я глажу свои рубашки на всю неделю.,У неділю я гладжу свої сорочки на весь тиждень.
füttern (hat gefüttert),"кормить (животное, ребёнка)",to feed,годувати,Повседневные действия,verb;household,Слабый глагол,Kannst du bitte die Katze füttern?,"Можешь, пожалуйста, покормить кошку?",Можеш, будь ласка, нагодувати кішку?
einkaufen (hat eingekauft),делать покупки,"to shop, to go shopping",купувати,Повседневные действия,verb;shopping;separable,Отделяемый слабый глагол,Ich habe heute im Supermarkt eingekauft.,Я сегодня сделал покупки в супермаркете.,Я сьогодні зробив покупки в супермаркеті.
speichern (hat gespeichert),"сохранять (файл, данные)",to save (a file),зберігати,Повседневные действия,verb;tech,Слабый глагол. Синоним: sichern,"Vergiss nicht, das Dokument zu speichern!",Не забудь сохранить документ!,Не забудь зберегти документ!
einatmen / ausatmen,вдыхать / выдыхать,to breathe in / out,вдихати / видихати,Повседневные действия,verb;health;separable,Отделяемые слабые глаголы от atmen,Atmen Sie tief ein und langsam wieder aus.,Вдохните глубоко и медленно выдохните.,Вдихніть глибоко і повільно видихніть.
Zeit verbringen (hat verbracht),проводить время,to spend time,проводити час,Повседневные действия,phrase;daily,Устойчивое выражение с сильным глаголом verbringen,Ich verbringe viel Zeit mit meiner Familie.,Я провожу много времени со своей семьёй.,Я проводжу багато часу зі своєю сім'єю.
jemandem in die Augen schauen,смотреть кому-либо в глаза,to look someone in the eyes,дивитися комусь у очі,Повседневные действия,phrase;daily,Устойчивое выражение (Dativ + in die Augen),Schau mir in die Augen und sag die Wahrheit!,Посмотри мне в глаза и скажи правду!,Подивись мені в очі й скажи правду!
Ausflüge unternehmen (hat unternommen),"совершать вылазки, ездить на экскурсии",to go on trips/excursions,здійснювати екскурсії,Повседневные действия,phrase;leisure,Устойчивое выражение; der Ausflug – вылазка,Am Wochenende unternehmen wir gern Ausflüge in die Berge.,По выходным мы охотно совершаем вылазки в горы.,На вихідних ми охоче здійснюємо екскурсії в гори.
mit den Kollegen ausgehen (ist ausgegangen),ходить куда-нибудь с коллегами,to go out with colleagues,ходити з колегами,Повседневные действия,phrase;leisure,ausgehen – выходить в свет,Nach Feierabend gehen wir manchmal mit den Kollegen aus.,После работы мы иногда ходим куда-нибудь с коллегами.,Після роботи ми інколи ходимо з колегами.
"stehen (stand, hat gestanden)",стоять,to stand,стояти,Повседневные действия,verb;state,Сильный глагол,Der Bus steht schon an der Haltestelle.,Автобус уже стоит на остановке.,Автобус вже стоїть на зупинці.
einrichten (hat eingerichtet),"обустраивать, обставлять","to furnish, to set up",облаштовувати,Жильё и дом,verb;home;separable,Отделяемый слабый глагол; die Einrichtung – обстановка,Wir haben die neue Wohnung gemütlich eingerichtet.,Мы уютно обставили новую квартиру.,Ми затишно облаштували нову квартиру.
"das Miethaus, ⸚er",арендный (многоквартирный) дом,apartment building (rented),багатоквартирний будинок,Жильё и дом,noun;home,Существительное среднего рода. Синоним: das Mehrfamilienhaus,In unserem Miethaus wohnen zwölf Familien.,В нашем многоквартирном доме живут двенадцать семей.,У нашому багатоквартирному будинку живе дванадцять сімей.
"der Mieter, -","квартиросъёмщик, арендатор",tenant,наймач,Жильё и дом,noun;home,Существительное мужского рода. Антоним: der Vermieter,Die Mieter müssen die Nebenkosten pünktlich bezahlen.,Квартиросъёмщики должны вовремя оплачивать коммунальные расходы.,Наймачі повинні вчасно платити комунальні видатки.
das Schwarze Brett (am Schwarzen Brett),доска объявлений,notice board,дошка оголошень,Жильё и дом,noun;home,Устойчивое выражение: am Schwarzen Brett – на доске объявлений,Am Schwarzen Brett hängt eine Mitteilung für alle Mieter.,На доске объявлений висит сообщение для всех жильцов.,На дошці оголошень висить повідомлення для всіх жильців.
"die Treppe, -n",лестница,"stairs, staircase",сходи,Жильё и дом,noun;home,Существительное женского рода; das Treppenhaus – подъезд,Die Treppe muss jede Woche geputzt werden.,Лестницу нужно мыть каждую неделю.,Сходи потрібно мити щотижня.
